DDF_Field,Identifier,RA,Dec,Otype,Otype_txt,Mag_U,Mag_B,Mag_V,Mag_G,Mag_R,Mag_I,Mag_BP,Mag_RP,Mag_cyan,Mag_orange,Period_days,Period_source,Catalog_sources
COSMOS,Gaia DR3 3833326962439414016,151.3767872276,0.06050885238,RR Lyrae (RRab),,,,,20.22948,,,20.739887,19.995882,,,0.5866268542384007,Gaia_DR3_RRLyr,"AAVSO_VSX,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
COSMOS,Gaia DR3 3833326996797682560,151.39700489554,0.06188900375,RR Lyrae (RRab),,,,,20.252466,,,20.310589,19.90662,,,0.599862251864147,Gaia_DR3_RRLyr,"AAVSO_VSX,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
COSMOS,Gaia DR3 3833327202955914368,151.38923691317,0.07452615882,RR Lyrae (RRab),,,,,20.232962,,,20.202463,19.530725,,,0.6051575996960925,Gaia_DR3_RRLyr,"AAVSO_VSX,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
COSMOS,Gaia DR3 3833327271675597312,151.36409679345,0.08596932467,RR Lyrae (RRab),,,,,20.262857,,,20.435143,19.459639,,,0.5869957854688621,Gaia_DR3_RRLyr,"AAVSO_VSX,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
COSMOS,Gaia DR3 3833554806157884928,150.37090504212,0.18326152526,RR Lyrae (RRab),,,16.299999237060547,16.399999618530273,16.213093,,,16.37029,15.900194,16.301000595092773,16.224000930786133,0.553592287738089,Gaia_DR3_RRLyr,"AAVSO_VSX,ASAS-SN,ATLAS,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum,SIMBAD"
COSMOS,Gaia DR3 3833556519849534464,150.41030174907,0.23550042054,RR Lyrae (RRc),,,,,18.475405,,,18.649494,18.150599,,,0.3363362471516023,Gaia_DR3_RRLyr,"AAVSO_VSX,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
COSMOS,Gaia DR3 3833653899643246720,150.12452207233,0.87759222611,RR Lyrae (RRab),,,,16.809999465942383,17.001007,,,17.0087,16.652306,17.006999969482422,16.996999740600586,0.3345062383253681,Gaia_DR3_RRLyr,"AAVSO_VSX,ASAS-SN,ATLAS,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
COSMOS,Gaia DR3 3834458188103774592,150.17066904986,1.36824043779,RR Lyrae (RRab),,,,,18.679022,,,18.711208,18.24491,,,0.4888783048936628,Gaia_DR3_RRLyr,"AAVSO_VSX,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
COSMOS,Gaia DR3 3834458535996432768,150.22888601804,1.39471319659,RR Lyrae (RRc),,,,15.84000015258789,15.801927,,,15.95322,15.527422,15.822999954223633,15.795999526977539,0.3210381408982936,Gaia_DR3_RRLyr,"AAVSO_VSX,ASAS-SN,ATLAS,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
COSMOS,Gaia DR3 3834499664603236096,149.74097757941,1.2614240768,RR Lyrae (RRc),,,,13.34000015258789,13.3006115,,,13.436012,13.059235,13.36400032043457,13.369000434875488,0.2711662798711283,Gaia_DR3_RRLyr,"AAVSO_VSX,ASAS-SN,ATLAS,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
