DDF_Field,Identifier,RA,Dec,Otype,Otype_txt,Mag_U,Mag_B,Mag_V,Mag_G,Mag_R,Mag_I,Mag_BP,Mag_RP,Mag_cyan,Mag_orange,Period_days,Period_source,Catalog_sources
ELAIS-S1,Gaia DR3 4978962626259977728,7.82147080633,-46.63966692808,RR Lyrae (RRab),,,,16.459999084472656,16.349216,,,16.534027,15.999185,,,0.5555580342529816,Gaia_DR3_RRLyr,"AAVSO_VSX,ASAS-SN,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4978969601286861184,8.39737129194,-46.38204586638,RR Lyrae (RRab),,,,,19.003376,,,19.117891,18.612404,,,0.5428773167171325,Gaia_DR3_RRLyr,"AAVSO_VSX,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4979175858498559104,7.88294183963,-46.15306873928,RR Lyrae (RRab),,,,,19.431816,,,19.40032,19.03147,,,0.5891946620467607,Gaia_DR3_RRLyr,"AAVSO_VSX,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4979829419379175424,11.45097584585,-43.919256084,RR Lyrae (RRab),,,,13.59000015258789,13.485634,,,13.668182,13.132893,,,0.5898559640096463,Gaia_DR3_RRLyr,"AAVSO_VSX,ASAS-SN,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4979843884828998400,11.10675569432,-43.77627814782,RR Lyrae (RRab),,,,,19.093967,,,19.304567,18.727053,,,0.6176637099739969,Gaia_DR3_RRLyr,"AAVSO_VSX,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4979877209478470528,6.49327514079,-46.10406751074,RR Lyrae (RRc),,,,,18.182865,,,18.283216,17.842438,,,0.40481306512775356,Gaia_DR3_RRLyr,"AAVSO_VSX,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4979978261469382272,7.47929387632,-45.23087714975,RR Lyrae (RRab),,,,,19.254953,,,19.426039,18.856667,,,0.7678936421325298,Gaia_DR3_RRLyr,"AAVSO_VSX,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4980147109519150080,6.51163989466,-45.46452754605,RR Lyrae (RRab),,,,16.459999084472656,16.3824,,,16.572546,16.03215,,,0.6354490059828902,Gaia_DR3_RRLyr,"AAVSO_VSX,ASAS-SN,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4980161368810636672,6.29474606428,-45.3304405376,RR Lyrae (RRab),,,,17.329999923706055,17.300215,,,17.472937,16.93628,,,0.65473254854934,Gaia_DR3_RRLyr,"AAVSO_VSX,ASAS-SN,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4980306328250512000,8.05027412034,-44.43528615765,RR Lyrae (RRab),,,,,18.623297,,,18.878439,18.254765,,,0.694896847723268,Gaia_DR3_RRLyr,"AAVSO_VSX,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4980310696233451136,8.00807499444,-44.35304476857,RR Lyrae (RRab),,,,16.649999618530273,16.490372,,,16.720192,16.104374,,,0.630781935684587,Gaia_DR3_RRLyr,"AAVSO_VSX,ASAS-SN,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4980327871807319936,8.57475630873,-44.15814064889,RR Lyrae (RRd),,,,,19.916962,,,19.78578,19.394484,,,0.35875530250531984,Gaia_DR3_RRLyr,"Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4980535374563307008,10.19817939713,-43.83016333577,RR Lyrae (RRab),,,,16.010000228881836,15.924765,,,16.09543,15.599149,,,0.49419435349000473,Gaia_DR3_RRLyr,"AAVSO_VSX,ASAS-SN,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
