DDF_Field,Identifier,RA,Dec,Otype,Otype_txt,Mag_U,Mag_B,Mag_V,Mag_G,Mag_R,Mag_I,Mag_BP,Mag_RP,Mag_cyan,Mag_orange,Period_days,Period_source,Catalog_sources
XMM-LSS,Gaia DR3 2486866466171920896,34.45329839711,-7.20272460189,RR Lyrae (RRab),,,,,20.28794,,,20.443827,19.652805,,,0.6518130914202804,Gaia_DR3_RRLyr,"AAVSO_VSX,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
XMM-LSS,Gaia DR3 2486926045958562048,33.91005716609,-7.15992798506,RR Lyrae (RRc),,,,17.520000457763672,18.025036,,,18.209877,17.828571,17.9950008392334,17.975000381469727,0.30079307030703895,Gaia_DR3_RRLyr,"AAVSO_VSX,ASAS-SN,ATLAS,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
XMM-LSS,Gaia DR3 2488003090612625792,33.59321583986,-6.02866519739,RR Lyrae (RRab),,,,17.670000076293945,17.922216,,,18.120644,17.550243,17.98900032043457,17.840999603271484,0.6350882786201631,Gaia_DR3_RRLyr,"AAVSO_VSX,ASAS-SN,ATLAS,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
XMM-LSS,Gaia DR3 2488169868487158272,33.32071471578,-5.60971873213,RR Lyrae (RRab),,,,17.149999618530273,17.3492,,,17.58019,16.973879,17.433000564575195,17.250999450683594,0.7060759317997134,Gaia_DR3_RRLyr,"AAVSO_VSX,ASAS-SN,ATLAS,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
XMM-LSS,Gaia DR3 2488284286415900800,37.04821275901,-6.65071504537,RR Lyrae (RRc),,,,17.34000015258789,17.424942,,,17.590288,17.157057,17.402000427246094,17.374000549316406,0.32967247564835184,Gaia_DR3_RRLyr,"AAVSO_VSX,ASAS-SN,ATLAS,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
XMM-LSS,Gaia DR3 2488544222132357632,35.58596818599,-6.24198049399,RR Lyrae (RRab),,,,,16.067589,,,16.18507,15.688032,,,0.5329664389742239,Gaia_DR3_RRLyr,"AAVSO_VSX,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
XMM-LSS,Gaia DR3 2488734227189991552,36.34879346143,-5.5392588098,RR Lyrae (RRab),,,,16.770000457763672,16.709309,,,16.872427,16.3765,16.975000381469727,16.628999710083008,0.5363914773923032,Gaia_DR3_RRLyr,"AAVSO_VSX,ASAS-SN,ATLAS,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
XMM-LSS,Gaia DR3 2488792157709079168,36.34105851903,-5.00493977394,RR Lyrae (RRab),,,,17.290000915527344,17.337873,,,17.513304,17.01245,17.486000061035156,17.30699920654297,0.6212729987988083,Gaia_DR3_RRLyr,"AAVSO_VSX,ASAS-SN,ATLAS,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
XMM-LSS,Gaia DR3 2490304570312646528,35.34129690284,-3.51125976063,RR Lyrae (RRc),,,,18.020000457763672,18.109919,,,18.32748,17.88798,18.114999771118164,18.08300018310547,0.34380736192501077,Gaia_DR3_RRLyr,"AAVSO_VSX,ASAS-SN,ATLAS,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
XMM-LSS,Gaia DR3 2490372740037257472,36.31118629387,-3.28226909031,RR Lyrae (RRab),,,,,19.256659,,,19.136818,18.088316,,,0.34660482729329184,Gaia_DR3_RRLyr,"AAVSO_VSX,Gaia_RRLyr,Gaia_VarClassify,Gaia_VariSum"
