# Boyd et al. 2025 (MNRAS 540, 385) DA WD spectrophotometric standards
# 3 CALSPEC primaries + 32 faint WDFS. Coords: Gaia DR3 J2016.0 (paper's
# wdfs_coords.txt, Zenodo 14939532); the 3 primaries re-anchored to their
# Gaia positions (paper printed older-epoch coords, 1.6-3.6 arcsec off —
# high-PM WDs). mag = Gaia DR3 G. Sanity-checked vs paper Table 1 2026-08-18.
# Input for scripts/enqueue_standards.py (per-airmass-bin pseudo-targets).
name,ra,dec,mag,note
G191B2B,76.377669,52.830674,11.718,"gaia-corrected; pm=(13,-93) mas/yr"
GD153,194.259493,22.030385,13.311,"gaia-corrected; pm=(-38,-203) mas/yr"
GD71,88.115437,15.886239,13.000,"gaia-corrected; pm=(77,-173) mas/yr"
WDFS0103-00,15.842504,-0.346611,19.302,
WDFS0122-30,20.503021,-30.867764,18.664,
WDFS0228-08,37.071596,-8.454528,19.975,
WDFS0238-36,39.604037,-36.039784,18.236,
WDFS0248+33,42.229021,33.763401,18.521,
WDFS0458-56,74.596387,-56.625954,17.959,
WDFS0541-19,85.311496,-19.510804,18.433,
WDFS0639-57,99.922783,-57.208657,18.375,
WDFS0727+32,111.969800,32.237791,18.189,
WDFS0815+07,123.786592,7.529382,19.931,
WDFS0956-38,149.237538,-38.691741,18.002,
WDFS1024-00,156.128800,-0.535322,19.083,
WDFS1055-36,163.855650,-36.204092,18.196,
WDFS1110-17,167.747650,-17.165086,18.048,
WDFS1111+39,167.863804,39.941140,18.644,
WDFS1206+02,181.710042,2.028372,18.850,
WDFS1206-27,181.584808,-27.494622,16.667,
WDFS1214+45,183.521296,45.638507,17.978,
WDFS1302+10,195.643425,10.210755,17.239,
WDFS1314-03,198.687692,-3.237690,19.307,
WDFS1434-28,218.748033,-28.317582,18.103,
WDFS1514+00,228.588654,0.797883,15.884,
WDFS1535-77,233.938246,-77.412453,16.765,
WDFS1557+55,239.439083,55.769267,17.691,
WDFS1638+00,249.501467,0.788261,19.025,
WDFS1814+78,273.600325,78.900857,16.745,
WDFS1837-70,279.324608,-70.047920,17.910,
WDFS1930-52,292.579146,-52.062931,17.673,
WDFS2101-05,315.461112,-5.764211,18.827,
WDFS2317-29,349.334558,-29.056013,18.526,
WDFS2329+00,352.422171,0.185435,18.292,
WDFS2351+37,357.934475,37.928491,18.235,
