|               name |           ra |          dec |   mag | exposure | nexp | exptime |                   start |
|            LTT2415 |  05:56:24.30 |  -27:51:28.8 |  12.2 |     2x30 |  2.0 |    30.0 | 2026-03-21 00:04:35.265 |
| 313831458352922664 |  04:04:37.78 | -48:30:07.25 |  21.5 |   4x1200 |  4.0 |  1200.0 | 2026-03-21 00:12:15.265 |
| 313963406691402058 |  9:55:20.980 |  +3:12:45.99 |  22.5 |   6x1200 |  6.0 |  1200.0 | 2026-03-21 01:42:15.265 |
|            2026exc |  10:24:46.66 | +14:58:33.65 | 18.86 |    2x900 |  2.0 |   900.0 | 2026-03-21 03:55:35.265 |
|            2024ggi | 11:18:22.091 | -32:50:15.29 |  19.8 |   2x1200 |  2.0 |  1200.0 | 2026-03-21 04:32:15.265 |
|            2026ftj | 12:34:39.808 | +07:09:44.44 |  21.5 |   3x1200 |  3.0 |  1200.0 | 2026-03-21 05:18:55.265 |
|            2026fud |  11:25:20.81 | -04:39:58.61 |  19.4 |    2x900 |  2.0 |   900.0 | 2026-03-21 06:27:15.265 |
|            2026ftl | 12:33:36.557 | +06:22:06.28 |  20.9 |   2x1200 |  2.0 |  1200.0 | 2026-03-21 07:03:55.265 |
|            2025dke |  14:19:21.97 | -01:47:08.50 |  19.5 |    2x900 |  2.0 |   900.0 | 2026-03-21 07:50:35.265 |
|            2025iek |  15:55:01.67 | +03:56:55.65 |  21.0 |   3x1200 |  3.0 |  1200.0 | 2026-03-21 08:27:15.265 |
|            LTT6248 |   15:38:59.8 |    -28:35:34 |  11.8 |     2x30 |  2.0 |    30.0 | 2026-03-21 09:35:35.265 |
|                end |     00:00:00 |   -30:00:00. |    99 |      1x0 |  1.0 |     0.0 | 2026-03-21 09:43:15.265 |
