program,name,ra,dec,priority,mag,band,exposure_minutes,instrument,notes
CfA-Stubbs,ZTF26abetmwf,329.79182,1.36284,P1,18.85,g,,LLAMAS,ZTF/Fink live; class=(TNS) SN Ia; Ia_score=0.92; sn_score=0.78; TNS-classified SN Ia (spectrum exists); last det MJD 61255.4
CfA-Stubbs,ZTF26abegyhx,342.65131,5.32029,P1,19.02,r,,LLAMAS,ZTF/Fink live; class=(TNS) SN Ia; Ia_score=0.92; sn_score=0.97; TNS-classified SN Ia (spectrum exists); last det MJD 61251.4
CfA-Stubbs,ZTF26abfdgjm,226.03192,10.84178,P1,19.2,r,,LLAMAS,ZTF/Fink live; class=(TNS) SN Ia; Ia_score=0.91; sn_score=0.43; TNS-classified SN Ia (spectrum exists); last det MJD 61255.2
CfA-Stubbs,ZTF26abfezve,316.15046,-2.50022,P1,19.47,r,,LLAMAS,ZTF/Fink live; class=(TNS) SN Ia; Ia_score=0.90; sn_score=0.31; TNS-classified SN Ia (spectrum exists); last det MJD 61254.4
CfA-Stubbs,ZTF26abfwmqc,3.71544,3.31936,P1,19.47,r,,LLAMAS,ZTF/Fink live; class=(TNS) SN Ia; Ia_score=0.90; sn_score=0.90; TNS-classified SN Ia (spectrum exists); last det MJD 61251.4
CfA-Stubbs,ZTF26abhmgla,354.32875,-9.10992,P1,18.79,r,,LLAMAS,ZTF/Fink live; class=(TNS) SN Ia; Ia_score=0.89; sn_score=0.90; TNS-classified SN Ia (spectrum exists); last det MJD 61255.4
CfA-Stubbs,ZTF26abfymgo,230.64365,-5.62787,P1,20.12,g,,LLAMAS,ZTF/Fink live; class=SN candidate; Ia_score=0.88; sn_score=0.97; no TNS classification (untyped); last det MJD 61256.2
CfA-Stubbs,ZTF26abfqiok,312.54515,-23.46255,P1,18.93,r,,LLAMAS,ZTF/Fink live; class=(TNS) SN Ia; Ia_score=0.87; sn_score=0.92; TNS-classified SN Ia (spectrum exists); last det MJD 61255.3
CfA-Stubbs,ZTF26abgxhag,339.2745,-5.85116,P1,19.49,r,,LLAMAS,ZTF/Fink live; class=(TNS) SN Ia; Ia_score=0.86; sn_score=0.68; TNS-classified SN Ia (spectrum exists); last det MJD 61255.4
CfA-Stubbs,ZTF26abjyfjg,17.59173,-9.56895,P1,16.5,r,,LLAMAS,ZTF/Fink live; class=(TNS) SN Ia; Ia_score=0.85; sn_score=0.62; TNS-classified SN Ia (spectrum exists); last det MJD 61255.4
CfA-Stubbs,ZTF26abearye,207.60359,9.65181,P2,19.03,r,,LLAMAS,ZTF/Fink live; class=(TNS) SN Ia; Ia_score=0.80; sn_score=0.35; TNS-classified SN Ia (spectrum exists); last det MJD 61250.2
CfA-Stubbs,ZTF26ablevyf,246.96388,0.47673,P2,19.18,r,,LLAMAS,ZTF/Fink live; class=SN candidate; Ia_score=0.79; sn_score=0.82; no TNS classification (untyped); last det MJD 61258.2
CfA-Stubbs,ZTF26abkcmvx,221.24993,1.41,P2,17.75,r,,LLAMAS,ZTF/Fink live; class=SN candidate; Ia_score=0.76; sn_score=0.64; no TNS classification (untyped); last det MJD 61251.2
CfA-Stubbs,ZTF26abecjxu,280.42952,-6.56215,P2,18.82,g,,LLAMAS,ZTF/Fink live; class=SN candidate; Ia_score=0.76; sn_score=0.39; no TNS classification (untyped); last det MJD 61256.2
CfA-Stubbs,ZTF26ablenru,257.33533,-25.35979,P2,17.74,g,,LLAMAS,ZTF/Fink live; class=SN candidate; Ia_score=0.75; sn_score=0.14; no TNS classification (untyped); last det MJD 61256.2
CfA-Stubbs,ZTF26abhlaue,304.34987,-1.64086,P2,18.91,g,,LLAMAS,ZTF/Fink live; class=SN candidate; Ia_score=0.74; sn_score=0.66; TNS-classified SN II (spectrum exists); last det MJD 61254.3
CfA-Stubbs,ZTF26abjhsrj,30.66128,7.33951,P2,19.0,r,,LLAMAS,ZTF/Fink live; class=(TNS) SN Ia; Ia_score=0.74; sn_score=0.66; TNS-classified SN Ia (spectrum exists); last det MJD 61255.4
CfA-Stubbs,ZTF26abjtexk,300.94502,-16.58054,P2,17.17,r,,LLAMAS,ZTF/Fink live; class=SN candidate; Ia_score=0.72; sn_score=0.27; no TNS classification (untyped); last det MJD 61255.3
CfA-Stubbs,ZTF26abldxtk,226.74728,10.5778,P2,18.69,g,,LLAMAS,ZTF/Fink live; class=SN candidate; Ia_score=0.72; sn_score=0.53; no TNS classification (untyped); last det MJD 61258.2
CfA-Stubbs,ZTF26abhxokr,258.32415,-23.68961,P3,19.0,g,,LLAMAS,ZTF/Fink live; class=SN candidate; Ia_score=0.70; sn_score=0.70; no TNS classification (untyped); last det MJD 61256.2
